G1,G2,G3,G4,G5,G6
Billy Horschel,Collin Morikawa,Matt Fitzpatrick,Patrick Rodgers,Scottie Scheffler,Viktor Hovland
Adam Scott,Akshay Bhatia,Ludvig Aberg,Matt Fitzpatrick,Patrick Rodgers,Scottie Scheffler
Collin Morikawa,Corey Conners,Kevin Yu,Patrick Rodgers,Robert Macintyre,Scottie Scheffler
Aaron Rai,Collin Morikawa,Lucas Glover,Patrick Rodgers,Scottie Scheffler,Thomas Detry
Corey Conners,Patrick Rodgers,Robert Macintyre,Scottie Scheffler,Thomas Detry,Viktor Hovland
Billy Horschel,Ludvig Aberg,Matt Fitzpatrick,Patrick Rodgers,Robert Macintyre,Scottie Scheffler
Aaron Rai,Billy Horschel,Collin Morikawa,Patrick Rodgers,Scottie Scheffler,Sepp Straka
Billy Horschel,Collin Morikawa,Lucas Glover,Patrick Rodgers,Robert Macintyre,Scottie Scheffler
Aaron Rai,Akshay Bhatia,Hideki Matsuyama,Patrick Rodgers,Robert Macintyre,Scottie Scheffler
Akshay Bhatia,Christiaan Bezuidenhout,Collin Morikawa,Corey Conners,Patrick Rodgers,Scottie Scheffler
Adam Scott,Billy Horschel,Christiaan Bezuidenhout,Collin Morikawa,Patrick Rodgers,Scottie Scheffler
Adam Scott,Collin Morikawa,Corey Conners,Maverick McNealy,Patrick Rodgers,Rory McIlroy
Akshay Bhatia,Hideki Matsuyama,Lucas Glover,Patrick Rodgers,Scottie Scheffler,Tony Finau
Akshay Bhatia,Collin Morikawa,Kevin Yu,Patrick Rodgers,Scottie Scheffler,Thomas Detry
Aaron Rai,Hideki Matsuyama,Ludvig Aberg,Matt Fitzpatrick,Patrick Rodgers,Rory McIlroy
Christiaan Bezuidenhout,Collin Morikawa,Lucas Glover,Patrick Rodgers,Scottie Scheffler,Tony Finau
Adam Hadwin,Collin Morikawa,Matt Fitzpatrick,Patrick Rodgers,Scottie Scheffler,Tony Finau
Akshay Bhatia,Maverick McNealy,Patrick Rodgers,Scottie Scheffler,Sepp Straka,Viktor Hovland
Aaron Rai,Adam Scott,Collin Morikawa,Corey Conners,Kevin Yu,Scottie Scheffler
Hideki Matsuyama,Kevin Yu,Maverick McNealy,Patrick Rodgers,Scottie Scheffler,Sepp Straka
Adam Hadwin,Lucas Glover,Maverick McNealy,Patrick Rodgers,Rory McIlroy,Scottie Scheffler
Akshay Bhatia,Billy Horschel,Christiaan Bezuidenhout,Patrick Rodgers,Rory McIlroy,Scottie Scheffler
Aaron Rai,Adam Scott,Hideki Matsuyama,Kevin Yu,Scottie Scheffler,Viktor Hovland
Adam Hadwin,Adam Scott,Hideki Matsuyama,Maverick McNealy,Patrick Rodgers,Scottie Scheffler
Adam Scott,Corey Conners,Lucas Glover,Maverick McNealy,Scottie Scheffler,Viktor Hovland
Akshay Bhatia,Maverick McNealy,Patrick Rodgers,Robert Macintyre,Scottie Scheffler,Tony Finau
Akshay Bhatia,Collin Morikawa,Corey Conners,Kevin Yu,Matt Fitzpatrick,Scottie Scheffler
Adam Scott,Corey Conners,Matt Fitzpatrick,Maverick McNealy,Scottie Scheffler,Tony Finau
Collin Morikawa,Matt Fitzpatrick,Maverick McNealy,Patrick Rodgers,Rory McIlroy,Sepp Straka
Collin Morikawa,Kevin Yu,Lucas Glover,Matt Fitzpatrick,Maverick McNealy,Scottie Scheffler
Billy Horschel,Patrick Rodgers,Robert Macintyre,Scottie Scheffler,Thomas Detry,Tony Finau
Aaron Rai,Kevin Yu,Ludvig Aberg,Matt Fitzpatrick,Scottie Scheffler,Tony Finau
Adam Scott,Akshay Bhatia,Matt Fitzpatrick,Robert Macintyre,Scottie Scheffler,Viktor Hovland
Collin Morikawa,Kevin Yu,Patrick Rodgers,Robert Macintyre,Rory McIlroy,Tony Finau
Billy Horschel,Collin Morikawa,Kevin Yu,Matt Fitzpatrick,Scottie Scheffler,Tony Finau
Corey Conners,Hideki Matsuyama,Maverick McNealy,Patrick Rodgers,Rory McIlroy,Sepp Straka
Lucas Glover,Matt Fitzpatrick,Scottie Scheffler,Thomas Detry,Tony Finau,Viktor Hovland
Akshay Bhatia,Collin Morikawa,Maverick McNealy,Patrick Rodgers,Rory McIlroy,Thomas Detry
Aaron Rai,Adam Scott,Corey Conners,Maverick McNealy,Scottie Scheffler,Sepp Straka
Corey Conners,Lucas Glover,Matt Fitzpatrick,Robert Macintyre,Scottie Scheffler,Tony Finau
Akshay Bhatia,Hideki Matsuyama,Maverick McNealy,Patrick Rodgers,Rory McIlroy,Tony Finau
Aaron Rai,Hideki Matsuyama,Patrick Rodgers,Rory McIlroy,Sepp Straka,Tony Finau
Adam Scott,Billy Horschel,Corey Conners,Scottie Scheffler,Sepp Straka,Viktor Hovland
Aaron Rai,Matt Fitzpatrick,Maverick McNealy,Robert Macintyre,Scottie Scheffler,Tony Finau
Akshay Bhatia,Matt Fitzpatrick,Maverick McNealy,Scottie Scheffler,Thomas Detry,Viktor Hovland
Christiaan Bezuidenhout,Collin Morikawa,Patrick Rodgers,Rory McIlroy,Sepp Straka,Viktor Hovland
Aaron Rai,Akshay Bhatia,Hideki Matsuyama,Lucas Glover,Maverick McNealy,Scottie Scheffler
Adam Hadwin,Corey Conners,Kevin Yu,Matt Fitzpatrick,Rory McIlroy,Scottie Scheffler
Billy Horschel,Matt Fitzpatrick,Robert Macintyre,Scottie Scheffler,Tony Finau,Viktor Hovland
Adam Scott,Corey Conners,Matt Fitzpatrick,Scottie Scheffler,Sepp Straka,Thomas Detry
Aaron Rai,Billy Horschel,Collin Morikawa,Kevin Yu,Robert Macintyre,Scottie Scheffler
Billy Horschel,Collin Morikawa,Patrick Rodgers,Rory McIlroy,Sepp Straka,Tony Finau
