PG,SG,SF,PF,C,G,F,UTIL
Bol Bol,Giannis Antetokounmpo,Grayson Allen,KJ Simpson,Kevin Durant,Moses Brown,Russell Westbrook,Trey Murphy III
Aaron Gordon,Giannis Antetokounmpo,KJ Simpson,Klay Thompson,Miles Bridges,Moses Brown,Spencer Dinwiddie,Trey Murphy III
Giannis Antetokounmpo,Jamal Murray,KJ Simpson,Kevin Durant,Klay Thompson,Moses Brown,Naji Marshall,Nick Richards
Bol Bol,CJ McCollum,Grayson Allen,Kevin Durant,Moses Brown,Paolo Banchero,Tyus Jones,Zion Williamson
Bol Bol,CJ McCollum,Franz Wagner,KJ Simpson,Kevin Durant,Max Christie,Miles Bridges,Moses Brown
Damian Lillard,Jamal Murray,Kevin Durant,Miles Bridges,Moses Brown,Naji Marshall,Spencer Dinwiddie,Tyus Jones
Bol Bol,CJ McCollum,Devin Booker,KJ Simpson,Kevin Durant,Moses Brown,Paolo Banchero,Royce O'Neale
Bol Bol,CJ McCollum,Devin Booker,Grayson Allen,Karlo Matkovic,Miles Bridges,Paolo Banchero,Tyus Jones
Bol Bol,Devin Booker,Franz Wagner,LOCKED,Moses Brown,Naji Marshall,Nick Richards,Tyus Jones
Bol Bol,Franz Wagner,Grayson Allen,KJ Simpson,LOCKED,Miles Bridges,Moses Brown,Naji Marshall
Bol Bol,Devin Booker,Franz Wagner,KJ Simpson,LOCKED,Moses Brown,Nick Richards,Trey Murphy III
Bol Bol,Brook Lopez,Devin Booker,Giannis Antetokounmpo,Jose Alvarado,KJ Simpson,Max Christie,Naji Marshall
Damian Lillard,Franz Wagner,Kevin Durant,Klay Thompson,Naji Marshall,Nick Richards,Royce O'Neale,Tyus Jones
Christian Braun,Giannis Antetokounmpo,Grayson Allen,KJ Simpson,Kevin Durant,LOCKED,Moses Brown,Naji Marshall
Bol Bol,Klay Thompson,LOCKED,Moses Brown,Naji Marshall,Nikola Jokic,Royce O'Neale,Tyus Jones
Bol Bol,Jamal Murray,Jose Alvarado,KJ Simpson,Kevin Durant,Klay Thompson,Nick Richards,Paolo Banchero
Aaron Gordon,Bol Bol,Giannis Antetokounmpo,KJ Simpson,Kyrie Irving,Moses Brown,Royce O'Neale,Trey Murphy III
Bol Bol,CJ McCollum,Damian Lillard,Franz Wagner,Grayson Allen,Miles Bridges,Moses Brown,Yves Missi
Bol Bol,Jose Alvarado,Kevin Durant,Klay Thompson,Miles Bridges,Paolo Banchero,Royce O'Neale,Tyus Jones
Giannis Antetokounmpo,Jordan Hawkins,LOCKED,Miles Bridges,Moses Brown,Naji Marshall,Spencer Dinwiddie,Tyus Jones
Bol Bol,Giannis Antetokounmpo,KJ Simpson,Kevin Durant,Naji Marshall,Spencer Dinwiddie,Trey Murphy III,Tyus Jones
Bol Bol,Giannis Antetokounmpo,Grayson Allen,Jamal Murray,KJ Simpson,Miles Bridges,Naji Marshall,Yves Missi
Bol Bol,Giannis Antetokounmpo,KJ Simpson,Miles Bridges,Nick Richards,Royce O'Neale,Trey Murphy III,Tyus Jones
