PG,SG,SF,PF,C,G,F,UTIL
Aaron Nesmith,Chet Holmgren,Day'Ron Sharpe,Deni Avdija,Kelly Oubre Jr.,Trae Young,Tyrese Haliburton,Zach Collins
Anfernee Simons,Day'Ron Sharpe,Donovan Clingan,Kawhi Leonard,Kelly Oubre Jr.,Ochai Agbaji,Tyler Herro,Tyrese Haliburton
Aaron Nesmith,Andre Drummond,Anfernee Simons,Day'Ron Sharpe,Jayson Tatum,Josh Giddey,Khris Middleton,Tyrese Haliburton
Day'Ron Sharpe,Deni Avdija,Gradey Dick,James Harden,Josh Giddey,Kelly Oubre Jr.,Ochai Agbaji,Tyrese Haliburton
Day'Ron Sharpe,James Harden,Josh Giddey,Kelly Oubre Jr.,Kyle Anderson,Ochai Agbaji,RJ Barrett,Tyrese Haliburton
Anfernee Simons,Corey Kispert,Day'Ron Sharpe,Josh Giddey,Josh Hart,Kawhi Leonard,Kyle Anderson,Tyler Herro
Andrew Wiggins,Gradey Dick,James Harden,Kawhi Leonard,Kelly Oubre Jr.,Kyle Anderson,Tyrese Haliburton,Zach Collins
Aaron Nesmith,Day'Ron Sharpe,Deni Avdija,Immanuel Quickley,Jalen Brunson,Josh Hart,RJ Barrett,Zach Collins
Aaron Nesmith,Day'Ron Sharpe,Georges Niang,Jayson Tatum,Jordan Poole,Lonzo Ball,Tyler Herro,Walker Kessler
Day'Ron Sharpe,Dillon Brooks,James Harden,Kawhi Leonard,Kyle Anderson,RJ Barrett,Tyler Herro,Zach Collins
Aaron Nesmith,Bam Adebayo,Day'Ron Sharpe,Jalen Brunson,Lonzo Ball,Ochai Agbaji,Shai Gilgeous-Alexander,Toumani Camara
Andre Drummond,Bam Adebayo,Cameron Johnson,Jalen Brunson,Kyle Anderson,Toumani Camara,Tyler Herro,Zach Collins
Anfernee Simons,Bam Adebayo,Cade Cunningham,Day'Ron Sharpe,Gradey Dick,Jordan Poole,Ochai Agbaji,Ziaire Williams
Bam Adebayo,Day'Ron Sharpe,Immanuel Quickley,James Harden,Kyle Anderson,Pascal Siakam,Zach Collins,Ziaire Williams
Andrew Wiggins,Anfernee Simons,Jalen Brunson,Kawhi Leonard,Ochai Agbaji,RJ Barrett,Zach Collins,Ziaire Williams
Andrew Nembhard,Immanuel Quickley,Jerami Grant,Jordan Poole,Josh Hart,Kawhi Leonard,Kelly Oubre Jr.,Zach Collins
