G1,G2,G3,G4,G5,G6
Aaron Rai,C.T. Pan,Joe Highsmith,Joel Dahmen,Kevin Yu,Michael Kim
Akshay Bhatia,Ben Silverman,C.T. Pan,Erik Van Rooyen,Joel Dahmen,Michael Kim
Antoine Rozner,Ben Griffin,Joe Highsmith,Ricky Castillo,Sam Stevens,Stephan Jaeger
Aaron Rai,Ben Griffin,Joe Highsmith,Joel Dahmen,Michael Thorbjornsen,Sam Stevens
Adam Svensson,Joe Highsmith,Kevin Yu,Michael Kim,Michael Thorbjornsen,Stephan Jaeger
Ben Griffin,Isaiah Salinda,Joe Highsmith,Michael Kim,Sam Stevens,Thorbjorn Olesen
Aaron Rai,Erik Van Rooyen,Kevin Yu,Michael Kim,Niklas Norgaard Moller,Steven Fisk
Aaron Rai,Ben Silverman,Joe Highsmith,Michael Kim,Sam Stevens,Vincent Norrman
Aaron Rai,Andrew Putnam,Ben Griffin,Carson Young,Harry Hall,Nate Lashley
Aaron Rai,Beau Hossler,C.T. Pan,Erik Van Rooyen,Joel Dahmen,Kevin Yu
Aaron Rai,Ben Griffin,Joe Highsmith,Matt Wallace,Niklas Norgaard Moller,Thorbjorn Olesen
Ben Griffin,C.T. Pan,Erik Van Rooyen,Hayden Springer,Niklas Norgaard Moller,Sam Stevens
Beau Hossler,C.T. Pan,Erik Van Rooyen,Frankie Capan,Niklas Norgaard Moller,Stephan Jaeger
Aaron Rai,C.T. Pan,Joe Highsmith,Kevin Yu,Kyoung-Hoon Lee,Michael Kim
Antoine Rozner,Ben Griffin,Emiliano Grillo,Kevin Yu,Niklas Norgaard Moller,Stephan Jaeger
Antoine Rozner,Beau Hossler,C.T. Pan,Erik Van Rooyen,Stephan Jaeger,Thorbjorn Olesen
Aaron Rai,Adam Svensson,Ben Griffin,Carson Young,Kevin Yu,Michael Thorbjornsen
Aaron Rai,Ben Griffin,Carson Young,Kevin Yu,Kris Ventura,Matt Wallace
Akshay Bhatia,Andrew Putnam,Joe Highsmith,Kevin Yu,Matt Wallace,Ryan Gerard
Adam Svensson,Ben Griffin,Kevin Yu,Matt Wallace,Michael Kim,Ryan Gerard
Beau Hossler,Ben Griffin,C.T. Pan,Erik Van Rooyen,Ryan Fox,Thorbjorn Olesen
Beau Hossler,Matt Wallace,Michael Kim,Rico Hoey,Stephan Jaeger,Vincent Norrman
Beau Hossler,Erik Van Rooyen,Joe Highsmith,Sam Stevens,Stephan Jaeger,Will Gordon
Aaron Rai,Akshay Bhatia,Andrew Putnam,Antoine Rozner,Carson Young,Frankie Capan
Aaron Rai,Joel Dahmen,Kevin Yu,Niklas Norgaard Moller,Patrick Rodgers,Will Gordon
Aaron Rai,Joe Highsmith,Michael Kim,Nate Lashley,Patrick Rodgers,Ryan Fox
Aaron Rai,Ben Silverman,Carson Young,Niklas Norgaard Moller,Patrick Rodgers,Ryan Gerard
Adam Svensson,Akshay Bhatia,Andrew Putnam,Ben Silverman,Frankie Capan,Patrick Rodgers
Aaron Rai,Adam Svensson,Andrew Putnam,Michael Kim,Michael Thorbjornsen,Niklas Norgaard Moller
Antoine Rozner,Beau Hossler,Joe Highsmith,Sam Stevens,Stephan Jaeger,Vincent Norrman
Aaron Rai,Ben Kohles,Ben Silverman,Michael Kim,Michael Thorbjornsen,Patrick Rodgers
Beau Hossler,Hayden Springer,Matt Wallace,Niklas Norgaard Moller,Stephan Jaeger,Thorbjorn Olesen
Beau Hossler,C.T. Pan,Joe Highsmith,Kevin Yu,Matti Schmid,Stephan Jaeger
Adam Svensson,Hayden Springer,Joe Highsmith,Michael Kim,Patrick Rodgers,Sam Stevens
Aaron Rai,Emiliano Grillo,Joel Dahmen,Kevin Yu,Niklas Norgaard Moller,Patrick Rodgers
Akshay Bhatia,C.T. Pan,Emiliano Grillo,Joe Highsmith,Matti Schmid,Michael Kim
Aaron Rai,Ben Griffin,Emiliano Grillo,Matt Wallace,Niklas Norgaard Moller,Thorbjorn Olesen
Adam Svensson,Andrew Putnam,Ben Griffin,Ben Silverman,Kevin Yu,Patrick Rodgers
Aaron Rai,Adam Svensson,Andrew Putnam,Antoine Rozner,Kevin Yu,Michael Kim
Ben Griffin,C.T. Pan,Matti Schmid,Michael Kim,Niklas Norgaard Moller,Thorbjorn Olesen
Antoine Rozner,Beau Hossler,Ben Griffin,Harry Hall,Joe Highsmith,Thorbjorn Olesen
C.T. Pan,Hayden Springer,Joe Highsmith,Patrick Rodgers,Sam Stevens,Thorbjorn Olesen
Emiliano Grillo,Kevin Yu,Matti Schmid,Michael Kim,Niklas Norgaard Moller,Stephan Jaeger
Akshay Bhatia,Andrew Putnam,Erik Van Rooyen,Kevin Yu,Matti Schmid,Michael Thorbjornsen
Akshay Bhatia,Kevin Yu,Matt Wallace,Niklas Norgaard Moller,Ricky Castillo,Vincent Norrman
Ben Griffin,Carson Young,Niklas Norgaard Moller,Patrick Rodgers,Ricky Castillo,Thorbjorn Olesen
Harry Hall,Matt Wallace,Michael Kim,Nate Lashley,Stephan Jaeger,Will Gordon
Ben Griffin,C.T. Pan,Erik Van Rooyen,Frankie Capan,Niklas Norgaard Moller,Sam Stevens
Ben Griffin,C.T. Pan,Nate Lashley,Niklas Norgaard Moller,Patrick Rodgers,Thorbjorn Olesen
