G1,G2,G3,G4,G5,G6
Akshay Bhatia,Alex Smalley,Ben Griffin,Hayden Springer,Ryan Gerard,Victor Perez
Ben Griffin,Charley Hoffman,Kevin Yu,Nicolai Hojgaard,Quade Cummins,Stephan Jaeger
Akshay Bhatia,Aldrich Potgieter,Beau Hossler,C.T. Pan,Erik Van Rooyen,Vince Whaley
C.T. Pan,Jesper Svensson,Joel Dahmen,Nicolai Hojgaard,Patrick Rodgers,Stephan Jaeger
Jeremy Paul,Joe Highsmith,Rasmus Hojgaard,Stephan Jaeger,Taylor Moore,Vincent Norrman
Joe Highsmith,Michael Kim,Nicolai Hojgaard,Ryan Fox,Ryan Gerard,Stephan Jaeger
Aaron Rai,Jacob Bridgeman,Luke List,Patrick Rodgers,Quade Cummins,Stephan Jaeger
Akshay Bhatia,Ben Griffin,Jacob Bridgeman,Karl Vilips,Patrick Rodgers,Quade Cummins
Aaron Rai,Chandler Phillips,Erik Van Rooyen,Rico Hoey,Stephan Jaeger,Taylor Moore
Akshay Bhatia,Chan Kim,Jacob Bridgeman,Jesper Svensson,Stephan Jaeger,Takumi Kanaya
Adam Svensson,Akshay Bhatia,Ben Griffin,Karl Vilips,Lanto Griffin,Taylor Moore
Akshay Bhatia,Aldrich Potgieter,Joel Dahmen,Matt Wallace,Rasmus Hojgaard,Vince Whaley
Patrick Rodgers,Ryan Gerard,Stephan Jaeger,Taylor Moore,Vince Whaley,Vincent Norrman
Akshay Bhatia,Andrew Putnam,Erik Van Rooyen,Lanto Griffin,Ryan Gerard,Taylor Moore
Akshay Bhatia,Aldrich Potgieter,Ben Silverman,Chris Gotterup,Jacob Bridgeman,Patrick Rodgers
Aaron Rai,Antoine Rozner,Ben Griffin,Karl Vilips,Nicolai Hojgaard,Patrick Rodgers
Akshay Bhatia,Jesper Svensson,Joe Highsmith,Lanto Griffin,Rasmus Hojgaard,Takumi Kanaya
Erik Van Rooyen,Isaiah Salinda,Kevin Yu,Rasmus Hojgaard,Sam Ryder,Stephan Jaeger
Jesper Svensson,Joe Highsmith,Rasmus Hojgaard,Ricky Castillo,Ryan Fox,Stephan Jaeger
Adam Svensson,Alex Smalley,Frankie Capan,Jesper Svensson,Patrick Rodgers,Stephan Jaeger
Aaron Rai,Alex Smalley,Chris Gotterup,Erik Van Rooyen,Stephan Jaeger,Trey Mullinax
Akshay Bhatia,Ben Kohles,C.T. Pan,Kevin Roy,Kris Ventura,Patrick Rodgers
Akshay Bhatia,Erik Van Rooyen,Karl Vilips,Michael Kim,Quade Cummins,Taylor Moore
Hayden Springer,Jesper Svensson,Kevin Roy,Kevin Yu,Michael Kim,Rasmus Hojgaard
Charley Hoffman,Joe Highsmith,Kevin Roy,Michael Kim,Stephan Jaeger,Taylor Moore
Aaron Rai,Ben Griffin,Chris Gotterup,Isaiah Salinda,Michael Kim,Niklas Norgaard Moller
Akshay Bhatia,Beau Hossler,Ben Griffin,Chandler Phillips,Joe Highsmith,Will Gordon
C.T. Pan,Lanto Griffin,Michael Kim,Nick Hardy,Stephan Jaeger,Taylor Moore
Emiliano Grillo,Matteo Manassero,Nicolai Hojgaard,Niklas Norgaard Moller,Patrick Rodgers,Stephan Jaeger
Alejandro Tosti,Alex Smalley,Kevin Roy,Kevin Yu,Niklas Norgaard Moller,Stephan Jaeger
Alex Smalley,Ben Martin,Kevin Yu,Stephan Jaeger,Taylor Moore,Vincent Norrman
Aldrich Potgieter,Beau Hossler,Erik Van Rooyen,Joe Highsmith,Sam Stevens,Taylor Moore
Joel Dahmen,Kevin Roy,Niklas Norgaard Moller,Rasmus Hojgaard,Rico Hoey,Stephan Jaeger
C.T. Pan,Erik Van Rooyen,Jesper Svensson,Joe Highsmith,Michael Kim,Rasmus Hojgaard
Aaron Rai,Charley Hoffman,Chris Gotterup,Niklas Norgaard Moller,Patrick Fishburn,Stephan Jaeger
C.T. Pan,Nicolai Hojgaard,Patrick Rodgers,Rasmus Hojgaard,Takumi Kanaya,Vincent Norrman
Akshay Bhatia,Ben Griffin,Joel Dahmen,Matt Wallace,Thorbjorn Olesen,Victor Perez
Akshay Bhatia,Ben Griffin,Kyoung-Hoon Lee,Matthew McCarty,Taylor Moore,Vince Whaley
Jesper Svensson,Niklas Norgaard Moller,Rico Hoey,Sam Stevens,Stephan Jaeger,Vincent Norrman
Erik Van Rooyen,Michael Kim,Niklas Norgaard Moller,Rasmus Hojgaard,Ryan Gerard,Thriston Lawrence
Alex Smalley,Jackson Suber,Jacob Bridgeman,Joe Highsmith,Rasmus Hojgaard,Stephan Jaeger
Ben Griffin,Joe Highsmith,Kevin Roy,Rasmus Hojgaard,Sam Ryder,Taylor Moore
Alex Smalley,Ben Griffin,Erik Van Rooyen,Kris Ventura,Mac Meissner,Patrick Rodgers
Jesper Svensson,Michael Kim,Rasmus Hojgaard,Taylor Moore,Vincent Norrman,Will Gordon
Aaron Rai,Akshay Bhatia,Alex Smalley,Chris Gotterup,Max McGreevy,Vince Whaley
Beau Hossler,Jacob Bridgeman,Jesper Svensson,Max McGreevy,Stephan Jaeger,Taylor Moore
Akshay Bhatia,Andrew Putnam,Jackson Suber,Jesper Svensson,Patrick Rodgers,Rico Hoey
Aaron Rai,Jacob Bridgeman,Kevin Yu,Niklas Norgaard Moller,Stephan Jaeger,Tim Widing
Akshay Bhatia,Alex Smalley,Charley Hoffman,Joel Dahmen,Michael Kim,Will Gordon
Adam Svensson,Alex Smalley,Charley Hoffman,Chris Gotterup,Michael Kim,Stephan Jaeger
Andrew Putnam,Erik Van Rooyen,Hayden Springer,Kurt Kitayama,Nicolai Hojgaard,Patrick Rodgers
Antoine Rozner,Ben Griffin,Hayden Springer,Jacob Bridgeman,Patrick Rodgers,Rasmus Hojgaard
Akshay Bhatia,Joe Highsmith,Rico Hoey,Ryan Gerard,Sam Stevens,Victor Perez
Beau Hossler,Ben Griffin,Ben Martin,Hayden Springer,Patrick Rodgers,Taylor Moore
Alex Smalley,Jesper Svensson,Joe Highsmith,Luke List,Patrick Rodgers,Rasmus Hojgaard
Adam Svensson,Akshay Bhatia,Jacob Bridgeman,Kevin Roy,Kevin Yu,Thorbjorn Olesen
Aaron Rai,Ben Silverman,Joel Dahmen,Patrick Rodgers,Patton Kizzire,Rasmus Hojgaard
Aaron Rai,Charley Hoffman,Kris Ventura,Niklas Norgaard Moller,Taylor Moore,Thorbjorn Olesen
Akshay Bhatia,Hayden Springer,Luke List,Niklas Norgaard Moller,Rasmus Hojgaard,Vince Whaley
Akshay Bhatia,Alex Smalley,Chandler Phillips,Luke List,Matti Schmid,Patrick Rodgers
Kris Ventura,Matt Wallace,Michael Kim,Stephan Jaeger,Takumi Kanaya,Taylor Moore
Ben Griffin,Niklas Norgaard Moller,Patrick Rodgers,Taylor Moore,Trey Mullinax,Vincent Norrman
Akshay Bhatia,Erik Van Rooyen,Harry Hall,Luke List,Matt Wallace,Victor Perez
Ben Griffin,Ben Silverman,Chan Kim,Nicolai Hojgaard,Patrick Fishburn,Rasmus Hojgaard
