PG,SG,SF,PF,C,G,F,UTIL
Cole Anthony,Franz Wagner,Jalen Brunson,Kevin Porter Jr.,Kyle Kuzma,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
Franz Wagner,Immanuel Quickley,Karl-Anthony Towns,Kevin Porter Jr.,Ryan Rollins,Santi Aldama,Wendell Carter Jr.,Zion Williamson
Ausar Thompson,Cole Anthony,Jalen Brunson,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Wendell Carter Jr.
Franz Wagner,Immanuel Quickley,Jordan Poole,Kevin Porter Jr.,Kyle Kuzma,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
Ausar Thompson,Immanuel Quickley,Jalen Brunson,Karl-Anthony Towns,Kevin Porter Jr.,Kyle Kuzma,Santi Aldama,Wendell Carter Jr.
Donovan Mitchell,Jalen Brunson,Kevin Porter Jr.,Klay Thompson,Kyle Kuzma,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
Immanuel Quickley,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Ryan Rollins,Trey Murphy III,Wendell Carter Jr.
Ausar Thompson,Cole Anthony,Dante Exum,Donovan Mitchell,Immanuel Quickley,Karl-Anthony Towns,Kyle Kuzma,Orlando Robinson
Ausar Thompson,Cole Anthony,Immanuel Quickley,Jalen Brunson,Jalen Duren,Kyle Kuzma,PJ Washington,Ryan Rollins
Ausar Thompson,Immanuel Quickley,Jalen Brunson,Karl-Anthony Towns,Keldon Johnson,Kevin Porter Jr.,Kyle Kuzma,Wendell Carter Jr.
Karl-Anthony Towns,Keldon Johnson,Kevin Porter Jr.,Kyle Kuzma,Paolo Banchero,Ryan Rollins,Trey Murphy III,Wendell Carter Jr.
Cole Anthony,De'Aaron Fox,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,Klay Thompson,Kyle Kuzma,Wendell Carter Jr.
De'Aaron Fox,Gary Trent Jr.,Immanuel Quickley,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Wendell Carter Jr.
Gary Trent Jr.,Karl-Anthony Towns,Kevin Porter Jr.,Kyle Kuzma,Paolo Banchero,Ryan Rollins,Trey Murphy III,Wendell Carter Jr.
Devin Vassell,Franz Wagner,Immanuel Quickley,Kevin Porter Jr.,Kyle Kuzma,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
Cole Anthony,De'Aaron Fox,Donovan Mitchell,Immanuel Quickley,Isaiah Stewart,Klay Thompson,Kyle Kuzma,Tobias Harris
Cole Anthony,De'Aaron Fox,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,PJ Washington,Wendell Carter Jr.,Zion Williamson
Cole Anthony,Jalen Brunson,Jarrett Allen,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Tobias Harris,Wendell Carter Jr.
Franz Wagner,Gary Trent Jr.,Immanuel Quickley,Jarrett Allen,Kevin Porter Jr.,Kyle Kuzma,Paolo Banchero,Wendell Carter Jr.
Ausar Thompson,Cole Anthony,De'Aaron Fox,Evan Mobley,Immanuel Quickley,Keldon Johnson,Orlando Robinson,Zion Williamson
Ausar Thompson,Donovan Mitchell,Gary Trent Jr.,Jalen Brunson,Jordan Poole,Kevin Porter Jr.,Kyle Kuzma,Wendell Carter Jr.
Franz Wagner,Jalen Brunson,Jalen Duren,Kevin Porter Jr.,Khris Middleton,Ryan Rollins,Tobias Harris,Wendell Carter Jr.
