PG,SG,SF,PF,C,G,F,UTIL
Darius Garland,Kel'el Ware,Kevin Porter Jr.,Kyle Kuzma,Ryan Rollins,Santi Aldama,Trey Murphy III,Tyler Herro
AJ Green,Bam Adebayo,Isaiah Stewart,Jordan Poole,Kyle Kuzma,Paolo Banchero,RJ Barrett,Santi Aldama
Charles Bassey,Franz Wagner,Jalen Brunson,Jordan Poole,Jose Alvarado,Kevin Porter Jr.,Kyle Kuzma,Santi Aldama
AJ Green,Ausar Thompson,Donovan Mitchell,Franz Wagner,Immanuel Quickley,Jalen Duren,Kelly Olynyk,Kyle Kuzma
Bam Adebayo,Gary Trent Jr.,Karl-Anthony Towns,Khris Middleton,Malik Beasley,Paolo Banchero,Ryan Rollins,Santi Aldama
Bam Adebayo,Desmond Bane,Donovan Mitchell,Keldon Johnson,Kelly Olynyk,Kevin Porter Jr.,Paolo Banchero,Wendell Carter Jr.
AJ Green,Dennis Schroder,Karl-Anthony Towns,Kevin Porter Jr.,Kyle Kuzma,Kyshawn George,Paolo Banchero,Trey Murphy III
Franz Wagner,Jordan Poole,Karl-Anthony Towns,Kevin Porter Jr.,Kyle Kuzma,Malik Beasley,Ryan Rollins,Simone Fontecchio
AJ Green,Bam Adebayo,Desmond Bane,Kelly Olynyk,Kyle Kuzma,PJ Washington,Paolo Banchero,Ryan Rollins
Ausar Thompson,Gary Trent Jr.,Immanuel Quickley,Jordan Poole,Kyle Kuzma,PJ Washington,Paolo Banchero,Ryan Rollins
Dennis Schroder,Karl-Anthony Towns,Klay Thompson,Kyle Kuzma,PJ Washington,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
Dante Exum,De'Aaron Fox,Jalen Duren,Karl-Anthony Towns,Kevin Porter Jr.,Kyle Kuzma,Kyshawn George,Santi Aldama
Alexandre Sarr,Bam Adebayo,Franz Wagner,Jordan Poole,Kevin Porter Jr.,PJ Washington,Tim Hardaway Jr.,Wendell Carter Jr.
Darius Garland,Gary Trent Jr.,Immanuel Quickley,Jordan Poole,Khris Middleton,Kyle Kuzma,PJ Washington,Wendell Carter Jr.
AJ Green,Darius Garland,Karl-Anthony Towns,Kevin Porter Jr.,Kyle Kuzma,Max Christie,Wendell Carter Jr.,Zion Williamson
Bam Adebayo,Jalen Duren,Jordan Poole,Karl-Anthony Towns,Keldon Johnson,Kevin Porter Jr.,Khris Middleton,Ryan Rollins
