PG,SG,SF,PF,C,G,F,UTIL
AJ Green,Darius Garland,Gary Trent Jr.,Karl-Anthony Towns,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.,Zion Williamson
Ausar Thompson,Darius Garland,Desmond Bane,Immanuel Quickley,PJ Washington,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
Brook Lopez,Chris Paul,Gary Trent Jr.,Jose Alvarado,Karl-Anthony Towns,Kyle Kuzma,RJ Barrett,Santi Aldama
AJ Green,Alexandre Sarr,Franz Wagner,Jalen Brunson,Kelly Olynyk,Kyle Kuzma,Tim Hardaway Jr.,Zion Williamson
AJ Green,Ausar Thompson,Bam Adebayo,Franz Wagner,Jalen Duren,Karl-Anthony Towns,Kevin Porter Jr.,Ryan Rollins
Cole Anthony,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,Max Christie,PJ Washington,Wendell Carter Jr.,Zion Williamson
AJ Green,Bam Adebayo,Immanuel Quickley,Jordan Poole,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.,Zion Williamson
Darius Garland,De'Aaron Fox,Kelly Olynyk,Kyle Kuzma,PJ Washington,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
Dante Exum,Donovan Mitchell,Franz Wagner,Kelly Olynyk,Kevin Porter Jr.,Paolo Banchero,RJ Barrett,Wendell Carter Jr.
AJ Green,Cole Anthony,Darius Garland,Franz Wagner,Kelly Olynyk,Khris Middleton,RJ Barrett,Zion Williamson
Franz Wagner,Gary Trent Jr.,Jalen Duren,Kyrie Irving,Paolo Banchero,Ryan Rollins,Santi Aldama,Wendell Carter Jr.
Alexandre Sarr,Ausar Thompson,Gary Trent Jr.,Jalen Brunson,Jarrett Allen,PJ Washington,Paolo Banchero,Ryan Rollins
Alexandre Sarr,Chris Paul,Franz Wagner,Gary Trent Jr.,Immanuel Quickley,Jarrett Allen,Paolo Banchero,Santi Aldama
Ausar Thompson,Cole Anthony,Jalen Duren,Kyrie Irving,Paolo Banchero,RJ Barrett,Ryan Rollins,Wendell Carter Jr.
Ausar Thompson,De'Aaron Fox,Donovan Mitchell,Kelly Olynyk,Kevin Porter Jr.,Paolo Banchero,RJ Barrett,Wendell Carter Jr.
Franz Wagner,Kelly Olynyk,Klay Thompson,Kyle Kuzma,Paolo Banchero,Ryan Rollins,Trey Murphy III,Wendell Carter Jr.
AJ Green,Ausar Thompson,De'Aaron Fox,Gary Trent Jr.,Jordan Poole,Karl-Anthony Towns,Kyle Kuzma,Wendell Carter Jr.
AJ Green,De'Aaron Fox,Desmond Bane,Gary Trent Jr.,Jarrett Allen,Karl-Anthony Towns,Khris Middleton,Santi Aldama
